Date,Price,Open,High,Low,Vol.,Change %,Pred,new
19-Apr-18,31479,31449,31517,31305,8.78K,0.22%,568,243.1783421
20-Apr-18,31314,31405,31440,31285,6.02K,-0.52%,263,64.14367908
23-Apr-18,31164,31300,31300,31110,6.67K,-0.48%,488,54.32979749
24-Apr-18,31262,31160,31280,31068,6.35K,0.31%,452,315.3238058
25-Apr-18,31301,31298,31324,31215,6.17K,0.12%,312,112.3003043
26-Apr-18,31158,31251,31276,31112,6.27K,-0.46%,345,71.24247879
27-Apr-18,31129,31101,31189,31047,6.10K,-0.09%,184,170.3750443
30-Apr-18,30947,31090,31090,30892,6.38K,-0.58%,506,55.35251845
1-May-18,30874,30855,30917,30735,0.86K,-0.24%,456,201.8231007
2-May-18,30926,31020,31350,30860,0.50K,0.17%,122,397.0479585
3-May-18,31003,30925,31146,30861,0.21K,0.25%,191,364.3113639
4-May-18,31068,30907,31154,30907,0.13K,0.21%,75,409.2866665
7-May-18,31247,31125,31300,31125,6.16K,0.58%,69,297.6859438
8-May-18,31200,31220,31238,31075,8.69K,-0.15%,522,143.6556718
9-May-18,31303,31219,31364,31156,9.93K,0.33%,275,292.981384
10-May-18,31352,31338,31470,31231,10.73K,0.16%,324,253.925971
11-May-18,31500,31340,31545,31340,8.84K,0.47%,115,366.0465858
14-May-18,31496,31450,31544,31380,7.90K,-0.01%,278,210.606246
15-May-18,31186,31425,31499,31172,14.51K,-0.98%,460,88.14686257
16-May-18,31007,31171,31171,30941,10.73K,-0.57%,592,66.49061116
17-May-18,30986,31001,31001,30852,8.54K,-0.07%,566,134.6471542
18-May-18,31093,30971,31115,30950,7.38K,0.35%,184,287.7623586
21-May-18,31114,31035,31139,30925,8.03K,0.07%,494,294.3078739
22-May-18,31111,31025,31173,31005,7.33K,-0.01%,104,254.574359
23-May-18,31186,31121,31369,31103,11.98K,0.24%,-46,331.7098351
24-May-18,31461,31241,31486,31235,11.06K,0.88%,219,472.8161037
25-May-18,31194,31370,31427,31172,10.05K,-0.85%,383,79.1799692
28-May-18,30971,31150,31150,30885,6.81K,-0.71%,702,86.73789866
29-May-18,31184,31020,31320,31020,12.38K,0.69%,28,465.5860735
30-May-18,31030,31120,31123,30937,9.14K,-0.49%,549,96.55913631
31-May-18,30882,31050,31120,30837,6.07K,-0.48%,446,115.4129779
1-Jun-18,30568,30796,30839,30458,2.07K,-1.02%,853,154.3759932
4-Jun-18,30708,30650,30812,30580,0.34K,0.46%,234,290.9710922
5-Jun-18,30699,30673,30935,30656,0.08K,-0.03%,-142,305.3913426
6-Jun-18,30755,30876,30913,30720,6.33K,0.18%,345,72.21988932
7-Jun-18,31055,30820,31075,30789,8.21K,0.98%,339,523.4708825
8-Jun-18,31076,31011,31196,30950,8.18K,0.07%,189,312.0014863
11-Jun-18,31035,31070,31083,30920,7.52K,-0.13%,517,128.6062419
12-Jun-18,30952,31001,31001,30873,6.95K,-0.27%,414,79.32753539
13-Jun-18,30952,30936,30994,30920,3.91K,0.00%,38,90.07658473
14-Jun-18,31145,30973,31178,30973,8.59K,0.62%,139,378.1384109
15-Jun-18,30804,31180,31195,30755,11.17K,-1.09%,933,64.70102422
18-Jun-18,30773,30799,30836,30721,4.81K,-0.10%,223,89.19465512
19-Jun-18,30702,30848,30899,30673,7.27K,-0.23%,357,80.21367326
20-Jun-18,30605,30680,30702,30580,4.93K,-0.32%,228,47.09973839
21-Jun-18,30451,30575,30575,30367,6.94K,-0.50%,584,84.57536141
22-Jun-18,30498,30410,30554,30387,6.81K,0.15%,124,255.6100306
25-Jun-18,30540,30500,30648,30500,4.98K,0.14%,-68,188.1940984
26-Jun-18,30480,30512,30574,30335,6.41K,-0.20%,582,208.1424098
27-Jun-18,30606,30466,30631,30435,6.00K,0.41%,239,337.1012321
28-Jun-18,30431,30588,30604,30408,4.32K,-0.57%,390,39.14825046
29-Jun-18,30363,30404,30449,30288,5.61K,-0.22%,337,120.3986727
2-Jul-18,30153,30380,30412,30000,2.26K,-0.69%,1034,187.1012
3-Jul-18,30469,30185,30600,30100,0.19K,1.05%,493,790.1295681
4-Jul-18,30510,30463,30550,30463,0.04K,0.13%,7,134.1342284
5-Jul-18,30541,30600,30640,30495,0.02K,0.10%,262,86.21872438
6-Jul-18,30582,30650,30740,30570,4.84K,0.13%,94,102.0667321
9-Jul-18,30638,30613,30788,30613,7.26K,0.18%,-125,200.1429131
10-Jul-18,30551,30663,30679,30436,7.52K,-0.28%,668,131.9181561
11-Jul-18,30344,30502,30545,30325,6.02K,-0.68%,349,62.13784007
12-Jul-18,30175,30315,30315,30161,7.75K,-0.56%,336,14.07148304
13-Jul-18,30131,30169,30210,30035,7.17K,-0.15%,419,137.5593474
16-Jul-18,30103,30151,30248,30074,5.56K,-0.09%,115,126.1677861
17-Jul-18,29757,30102,30120,29740,9.28K,-1.15%,740,35.21721587
18-Jul-18,29799,29999,29999,29671,7.92K,0.14%,912,129.4149843
19-Jul-18,29913,29671,29968,29624,8.40K,0.38%,375,589.3559276
20-Jul-18,29957,29788,29977,29767,7.07K,0.15%,233,380.3404105
23-Jul-18,29914,29922,30043,29862,7.10K,-0.14%,103,173.3151832
24-Jul-18,29912,29860,29978,29780,7.69K,-0.01%,306,250.877636
25-Jul-18,29959,29867,30035,29835,7.58K,0.16%,144,292.8312385
26-Jul-18,29836,29912,29952,29816,5.77K,-0.41%,192,60.09122619
27-Jul-18,29805,29960,29960,29682,7.53K,-0.10%,802,124.1520113
30-Jul-18,29755,29726,29782,29700,4.90K,-0.17%,106,111.1518519
31-Jul-18,29638,29730,29740,29561,6.63K,-0.39%,482,87.46625622
1-Aug-18,29462,29591,29670,29441,2.14K,-0.59%,263,100.1633436
2-Aug-18,29520,29532,29638,29477,0.92K,0.20%,90,149.2348611
3-Aug-18,29800,29520,29900,29425,0.11K,0.95%,560,761.0535259
6-Aug-18,29563,29656,29656,29538,4.02K,-0.80%,286,25.09987135
7-Aug-18,29534,29604,29668,29520,5.98K,-0.10%,132,78.0701897
8-Aug-18,29544,29560,29630,29500,6.45K,0.03%,138,114.1938983
9-Aug-18,29605,29565,29665,29529,5.58K,0.21%,124,176.3500288
10-Aug-18,29706,29625,29744,29540,7.31K,0.34%,383,286.1463778
13-Aug-18,29665,29750,29836,29644,7.72K,-0.14%,168,107.136014
14-Aug-18,29664,29665,29740,29575,4.99K,0.00%,283,164.4965342
16-Aug-18,29275,29615,29615,29222,10.27K,-1.31%,892,53.71278489
17-Aug-18,29275,29291,29375,29184,6.00K,0.00%,312,175.5955661
